City,latitude,longitude,Pop,Popden,Area,pov_incidence,poor_families,net_income,net_income_pop
City Of Caloocan,14.649228,120.982589,1583978,28.29,56.0,3.2,12.0,266026,0.16794804
City Of Las Piñas,14.4445,120.9939,588894,18.40,32.0,1.0,2.0,596218,1.012436873
City Of Makati,14.550106,121.036017,582602,21.58,27.0,0.2,0.0,4737265,8.131219941
City Of Malabon,14.669098,120.971958,365525,22.85,16.0,1.3,1.0,174302,0.47685384
City Of Mandaluyong,14.5794,121.0359,386276,35.12,11.0,0.9,1.0,894869,2.316657002
City of Manila,14.6042,120.9822,1780148,41.40,43.0,1.9,9.0,4004689,2.249638232
City Of Marikina,14.6507,121.1029,450741,19.60,23.0,1.5,2.0,258655,0.573843959
City Of Muntinlupa,14.413494,121.026322,504509,12.01,42.0,0.8,1.0,908322,1.800407921
City Of Navotas,14.6732,120.935,249463,20.79,12.0,2.4,2.0,251456,1.007989161
City Of Parañaque,14.4793,121.0198,664822,14.15,47.0,0.6,1.0,771683,1.160736257
City Of Pasig,14.560355,121.08121,755300,24.36,31.0,1.8,3.0,3335436,4.416041308
City Of San Juan,14.6019,121.0355,122180,20.36,6.0,0.4,0.0,315735,2.58417908
City Of Taguig,14.528899,121.053886,804915,17.89,45.0,0.5,1.0,1452320,1.804314741
City Of Valenzuela,14.693645,120.965583,620422,13.49,46.0,0.5,1.0,102433,0.16510214
Pasay City,14.54559,120.995818,416522,23.14,18.0,1.5,2.0,433494,1.040746947
Pateros,14.548849,121.072495,63840,31.92,2.0,1.8,0.0,26994,0.422838346
Quezon City,14.676041,121.043701,2936116,17.69,166.0,1.5,10.0,6532693,2.224943769